created_at,q1,q2,q3,mean,stdev
2022-01-16 01:26:00,0.0911550335586071,0.19697166979312897,0.3034902587532997,0.22721402,0.20589441
2022-01-16 01:27:00,0.07431639730930328,0.18466663360595703,0.32229653000831604,0.22598484,0.2117381
2022-01-16 01:28:00,0.1222420185804367,0.2428615763783455,0.4132457971572876,0.27935618,0.21219096
2022-01-16 01:29:00,0.13526345044374466,0.24657584726810455,0.382858544588089,0.2682598,0.18600282
2022-01-16 01:30:00,0.08537258952856064,0.18843385577201843,0.3451484516263008,0.2535528,0.23738751
2022-01-16 01:31:00,0.10665571689605713,0.21546760201454163,0.36716390401124954,0.2598803,0.21866082
2022-01-16 01:32:00,0.1296405792236328,0.2476588934659958,0.4067629277706146,0.282104,0.2057106
2022-01-16 01:33:00,0.11395669728517532,0.22378681600093842,0.3630693331360817,0.24759066,0.17654097
2022-01-16 01:34:00,0.15325985848903656,0.2530267536640167,0.3959590569138527,0.28948733,0.19594193
2022-01-16 01:35:00,0.16844002157449722,0.27624425292015076,0.3905658647418022,0.28423283,0.1673838
2022-01-16 01:36:00,0.14859487116336823,0.27413998544216156,0.41709546744823456,0.28915298,0.18407959
2022-01-16 01:37:00,0.13092264905571938,0.2551693767309189,0.39190150797367096,0.27407387,0.18877587
2022-01-16 01:38:00,0.16944000124931335,0.2833779454231262,0.4256569445133209,0.2990738,0.19104083
2022-01-16 01:39:00,0.13360841572284698,0.30350056290626526,0.45572248101234436,0.30303743,0.21499604
2022-01-16 01:40:00,0.24234890937805176,0.36616286635398865,0.5180624127388,0.3629581,0.18757425
2022-01-16 01:41:00,0.22330503165721893,0.3607616424560547,0.465920627117157,0.33793774,0.16663346
2022-01-16 01:42:00,0.08244156092405319,0.21691912412643433,0.36492300033569336,0.23872365,0.18885522
2022-01-16 01:43:00,0.12901758775115013,0.3019217997789383,0.4594529718160629,0.30936512,0.21618582
2022-01-16 01:44:00,0.18314900621771812,0.2754243463277817,0.3742092251777649,0.28575465,0.15175954
2022-01-16 01:45:00,0.12654304131865501,0.23314648121595383,0.3861061856150627,0.2490712,0.16042677
2022-01-16 01:46:00,0.20032957196235657,0.34289664030075073,0.45558468997478485,0.32582778,0.16231562
2022-01-16 01:47:00,0.22859912365674973,0.3481336534023285,0.4726494923233986,0.3498261,0.16888843
2022-01-16 01:48:00,0.13700583577156067,0.22491994500160217,0.3835068568587303,0.30262217,0.24694312
2022-01-16 01:49:00,0.16933369636535645,0.2841833829879761,0.41878095269203186,0.31227162,0.20846802
2022-01-16 01:50:00,0.12890447676181793,0.2481153905391693,0.3730269819498062,0.26505885,0.19372828
2022-01-16 01:51:00,0.1613461896777153,0.29194140434265137,0.42553573846817017,0.30332187,0.1936544
2022-01-16 01:52:00,0.20799295604228973,0.3269750475883484,0.4632732570171356,0.33901298,0.18628266
2022-01-16 01:53:00,0.2738538384437561,0.39050784707069397,0.5214499235153198,0.3971858,0.17487726
2022-01-16 01:54:00,0.2615813836455345,0.3834655284881592,0.5144070237874985,0.38954392,0.19228686
2022-01-16 01:55:00,0.23113471269607544,0.3787972331047058,0.5140312016010284,0.37050533,0.20361577
2022-01-16 01:56:00,0.285130575299263,0.40233732759952545,0.5166946053504944,0.39957073,0.18218137
2022-01-16 01:57:00,0.2790903151035309,0.3858078718185425,0.523137092590332,0.4072345,0.20684077
2022-01-16 01:58:00,0.19466635957360268,0.3474407196044922,0.4825148805975914,0.34491014,0.20278844
2022-01-16 01:59:00,0.15844926238059998,0.3212816119194031,0.46551263332366943,0.3197395,0.2060683
2022-01-16 02:00:00,0.20836037397384644,0.32629135251045227,0.4548565745353699,0.34832135,0.20964009
